year,week,date,team1,score1,team2,score2
2022,1,Sep. 3,Defiance,0.0,Mount Union,65.0
2022,1,Sep. 3,Muhlenberg,13.0,Mary Hardin-Baylor,62.0
2022,1,Sep. 3,UW-Whitewater,10.0,St. John's,24.0
2022,1,Sep. 3,Linfield,41.0,Huntingdon,34.0
2022,1,Sep. 3,Sul Ross State,7.0,Trinity (Texas),55.0
2022,1,Sep. 3,UW-La Crosse,7.0,BX,42.0
2022,1,Sep. 3,Hardin-Simmons,79.0,BX,14.0
2022,1,Sep. 3,Ithaca,51.0,Bridgewater State,14.0
2022,1,Sep. 3,Susquehanna,45.0,Lycoming,16.0
2022,1,Sep. 3,Wartburg,34.0,Monmouth,7.0
2022,1,Sep. 3,Pacific Lutheran,9.0,Bethel,41.0
2022,1,Sep. 3,Westminster (Pa.),8.0,Delaware Valley,22.0
2022,1,Sep. 3,N.C. Wesleyan,7.0,Randolph-Macon,49.0
2022,1,Sep. 3,Wittenberg,28.0,Cortland,48.0
2022,1,Sep. 3,Johns Hopkins,54.0,Case Western Reserve,14.0
2022,1,Sep. 2,Whitworth,17.0,Carnegie Mellon,35.0
2022,1,Sep. 3,John Carroll,26.0,Washington and Jefferson,35.0
2022,1,Sep. 3,Endicott,27.0,St. Lawrence,0.0
2022,1,Sep. 3,Alma,16.0,Ohio Northern,13.0
2022,1,Sep. 3,Carthage,0.0,Albion,52.0
2022,1,Sep. 3,Baldwin Wallace,28.0,Mount St. Joseph,31.0
2022,1,Sep. 1,UW-Platteville,13.0,BX,23.0
2022,1,Sep. 1,Anderson,0.0,Trine,38.0
2022,1,Sep. 1,Ferrum,9.0,BX,41.0
2022,1,Sep. 1,Wilmington,52.0,Southern Virginia,27.0
2022,1,Sep. 1,Illinois College,38.0,Lakeland,20.0
2022,1,Sep. 1,Belhaven,49.0,Millsaps,21.0
2022,1,Sep. 1,Concordia-Moorhead,14.0,BX,12.0
2022,1,Sep. 2,Albright,0.0,Salisbury,49.0
2022,1,Sep. 2,MIT,35.0,Curry,20.0
2022,1,Sep. 2,Nichols,30.0,Westfield State,29.0
